bankcd,banknm,rivnm,rivdv,banklr,staddr,stchm,stchs,edaddr,edchm,edchs,len,plfwv,plfwl,plrivwith,bankwith,inslp,outslp,sttmx,sttmy,edtmx,edtmy,outstn,instn,gatecnt,pgatecnt,pipecnt,pumtcnt,bodysf,etcsf,mngrdtp,bkrdtp,hgebmttp,hgebmtst,bedtp,bedst,lwebmttp,lwebmtst,waystn,crstp,bedsoil
100001010000,가래여울제,한강,국가,좌,경기도 하남시 선동 268-4번지선,141,252,서울시 강동구 고덕동,137,10,2243,37000,19.84~20.08,944~928,7,,1:2.0,215731,452979,213936,452038,농경지,"농경지, 주거지",0,3,1,,양호,,,아스팔트,호안블록,양호,사석,양호,호안블록,양호,직선부,복단면,사질토
100001010001,강남제,한강,국가,좌,서울시 강남구 삼성1동,115,465,서울시 강남구 압구정1동,107,115,5270,37000,15.74~17.87,1065~1275,17.4,,1:2.0,205764,446216,202287,447972,,"도로, 주거지",0,16,90,,양호,,,아스팔트,호안블록,양호,사석,양호,호안블록,양호,사행부,복단면,사질토
100001010002,강남제,한강,국가,좌,서울시 강남구 압구정1동,107,115,서울시 서초구 반포본동,97,115,3770,37000,15.74~17.87,1065~1275,17.4,,1:2.0,202287,447972,198138,444640,,"도로, 주거지",0,16,90,,양호,,,아스팔트,호안블록,양호,사석,양호,호안블록,양호,사행부,복단면,사질토
100001010003,강상제,한강,국가,좌,경기도 양평군 강상면 교평리,55,50,경기도 양평군 강상면 교평리,51,200,1700,15600,33.09~33.66,625~665,4,1:2.0,1:2.0,243322,440986,242889,442420,농경지,농경지,0,1,0,1,보통,제정폭 부족,비포장,,돌망태,양호,,,,,직선부,복단면,사질토
100001010004,개화제,한강,국가,좌,서울시 강서구 가양1동,67,155,서울시 강서구 방화2동,57,285,3790,37000,11.52~12.39,1164~1410,29,,1:2.5,185860,452686,182278,454488,"농경지, 체육시설","주거지, 지하철차량기지",0,8,19,,양호,,,아스팔트,호안블록,양호,사석,양호,호안블록,양호,직선부,복단면,사질토
100001010005,계신제,한강,국가,좌,경기도 여주군 금사면 계신리,83,90,경기도 여주군 금사면 계신리,79,20,1120,15600,36.86~37.39,765~885,7,1:2.0,1:2.0,247765,430594,247348,432254,농경지,농경지,0,2,4,,보통,재방고 부족,비포장,,"사석, 돌망태",양호,,,,,직선부,복단면,사질토
100001010006,고촌제,한강,국가,좌,경기도 김포시 고촌면 풍곡리,46,135,경기도 김포시 고촌면 풍곡리,44,10,800,37000,10.56~10.58,1404~1574,13,1:2.0,1:2.0,179603,457236,178881,457612,농경지,"농경지, 주거지",0,0,2,,양호,,,아스팔트,호안블록,보통,,,사석,보통,직선부,복단면,사질토
100001010007,금능제,한강,국가,좌,충청북도 충주시 목행동,250,0,충청북도 충주시 목행동,244,180,2500,,71.39~72.61,430~675,7,1:2.0,1:2.0,281310,389421,280216,387974,시민체육공원,"주거지, 농경지",0,2,0,,양호,제외측 경사부족,,아스팔트,돌망태,보통,,,,,직선부,복단면,사질토
100001010008,금사제,한강,국가,좌,경기도 여주군 금사면 금사리,72,50,경기도 여주군 금사면 금사리,70,200,2714,15600,35.73~35.90,650~780,4,1:2.0,1:2.0,246309,434765,246720,435461,농경지,농경지,0,0,1,,보통,"제정폭, 제방고 부족",비포장,,무호안,,,,,,직선부,복단면,사질토
100001010009,김포제,한강,국가,좌,경기도 김포시 고촌면 풍곡리,43,420,경기도 김포시 김포1동,29,20,6013,37000,9.97~10.19,1480~1803,13,1:2.0,1:2.0,178833,457622,173807,460567,군작전 지역,"농경지, 주거지",0,5,2,4,양호,,,아스팔트,호안블록,불량,,,사석,보통,직선부,복단면,사질토
100001010010,누산제,한강,국가,좌,경기도 김포시 양촌면 누산리,19,110,경기도 김포시 양촌면 누산리,17,470,1350,37000,8.51~8.75,1829~1853,8,1:2.0,1:2.0,169383,464469,169934,465494,군작전 지역,"농경지, 주거지",0,1,0,1,양호,,,아스팔트,돌망태,보통,,,사석,보통,직선부,복단면,사질토
100001010012,단암제,한강,국가,좌,충청북도 충주시 앙성면 단암리,168,310,충청북도 충주시 앙성면 단암리,159,0,3480,13900,51.94~53.88,395~515,7,1:2.0,1:2.0,266611,408470,265875,412362,농경지,"농경지, 주거지",0,3,17,,양호,일부구간 게다블록 함몰,비포장,,게다블록,보통,,,,,직선부,복단면,사질토
100001010013,등촌제,한강,국가,좌,서울시 강서구 가양3동,73,400,서울시 강서구 가양1동,67,155,3100,37000,12.39~13.04,1090~1164,29,,1:2.5,188293,450867,185860,452686,,주거지,0,4,32,,양호,,,아스팔트,호안블록,양호,사석,양호,호안블록,양호,직선부,복단면,사질토
100001010015,미사제,한강,국가,좌,경기도 하남시 풍산동,157,10,경기도 하남시 풍산동,143,400,5100,37000,20.28~21.07,740~1851,7,1:2.0,1:2.0,219208,449679,216296,453176,공원,주거지,0,2,28,,양호,저수호안 일부 파손,,,호안블록,양호,,,호안블록+어소블록,보통,직선부,복단면,사질토
100001010016,병산제,한강,국가,좌,경기도 양평군 강상면 병산리,51,200,경기도 양평군 강상면 병산리,50,300,400,15600,32.88~33.03,640~700,4,1:2.0,1:2.0,242641,442677,242838,442460,농경지,농경지,0,0,1,,보통,제정폭 부족,비포장,,호안블록,양호,,,,,사행부,복단면,사질토
100001010017,부평1제,한강,국가,좌,경기도 김포시 고촌면 신곡리,52,225,경기도 김포시 고촌면 신곡리,50,430,826,37000,10.95~11.20,1496~1546,13,1:2.0,1:2.0,181589,455799,181059,456292,잡초지,"농경지, 주거지",0,2,0,,양호,,,아스팔트,호안블록,보통,,,사석,보통,직선부,복단면,사질토
100001010018,부평2제,한강,국가,좌,경기도 김포시 고촌면 전호리,57,285,경기도 김포시 고촌면 전호리,54,290,1412,37000,11.21~11.48,1240~1974,13,1:2.0,1:2.0,182228,454410,181089,456080,농경지,"농경지, 주거지",0,0,0,,양호,,,아스팔트,호안블록,보통,,,사석,보통,사행부,복단면,사질토
100001010019,석탄제,한강,국가,좌,경기도 김포시 하성면 석탄리,14,400,경기도 김포시 하성면 석탄리,6,345,3610,37000,7.40~8.22,1628~1820,7,1:2.0,1:1.0,170107,467018,170405,470065,군작전 지역,"농경지, 주거지",0,1,0,1,양호,,비포장,,돌붙임,양호,,,,,직선부,복단면,사질토
100001010020,선동제,한강,국가,좌,경기도 하남시 풍산동,143,400,경기도 하남시 풍산동,141,400,1295,37000,20.12~20.28,913~1495,20,1:2.0,1:2.0,216291,453174,215717,452981,고수부지,주거지,0,0,2,,양호,,,아스팔트,호안블록,양호,,,호안블록+어소블록,보통,사행부,복단면,사질토
100001010021,신곡좌안무명제,한강,국가,좌,경기도 김포시 고촌면 신곡리,50,365,경기도 김포시 고촌면 신곡리,47,235,1400,37000,,,,,,180918,456222,179795,456883,,,0,2,0,,,,,,,,,,,,,,
100001010022,신장1제,한강,국가,좌,경기도 하남시 천현동,159,185,경기도 하남시 신장2동,157,75,927,37000,21.08~21.09,705~1469,20,1:2.0,1:2.0,220466,449134,219300,449590,공원,주거지,0,0,14,,양호,,,아스팔트,무호안,,,,호안블록+어소블록,보통,직선부,복단면,사질토
